Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2003,Jose Valentin,White Sox,144,569,28,79,74,8,9.50%,20.00%,0.227,0.251,0.237,0.313,0.463,0.332,98,2.6,1.6,18.1,3.9,256
2016,Addison Russell,Cubs,151,598,21,67,95,5,9.20%,22.60%,0.179,0.277,0.238,0.321,0.417,0.316,94,1.3,-3.1,21.9,3.9,14106
1996,Cal Ripken,Orioles,163,707,26,94,102,1,8.30%,11.00%,0.188,0.281,0.278,0.341,0.466,0.35,103,-0.9,2,11.6,3.8,1010978
2006,Rafael Furcal,Dodgers,159,736,15,113,63,37,9.90%,13.30%,0.145,0.333,0.3,0.369,0.445,0.355,113,4.5,17,-2.2,3.8,88
1999,Mark Grudzielanek,Dodgers,123,534,7,72,46,6,5.80%,12.20%,0.111,0.363,0.326,0.376,0.436,0.36,115,-1.5,9.2,13.3,3.8,653
1992,Mike Bordick,Athletics,154,572,3,62,48,12,7.00%,10.30%,0.071,0.331,0.3,0.358,0.371,0.334,113,-0.1,8.4,8.6,3.8,129
2011,Erick Aybar,Angels,143,605,10,71,59,30,5.10%,11.20%,0.142,0.301,0.279,0.322,0.421,0.325,107,2.9,7.6,8.3,3.8,4082
2001,Miguel Tejada,Athletics,162,683,31,107,113,11,6.30%,13.00%,0.209,0.267,0.267,0.326,0.476,0.34,109,0,8.1,6.4,3.7,941
2009,Erick Aybar,Angels,137,556,5,70,58,14,5.40%,9.70%,0.111,0.338,0.312,0.353,0.423,0.34,105,3.5,7,11.2,3.7,4082
2004,Julio Lugo,Devil Rays,157,655,7,83,75,21,8.20%,16.20%,0.12,0.321,0.275,0.338,0.396,0.323,93,5.6,-0.5,16.2,3.7,565
2012,Erick Aybar,Angels,141,554,8,67,45,20,4.00%,11.00%,0.126,0.316,0.29,0.324,0.416,0.321,107,3.8,8.3,8.6,3.7,4082
1994,Barry Larkin,Reds,110,501,9,78,52,26,12.80%,11.60%,0.141,0.301,0.279,0.369,0.419,0.349,109,4.3,10.2,10.9,3.7,335
1993,Cal Ripken,Orioles,162,718,24,87,90,1,9.10%,8.10%,0.162,0.25,0.257,0.329,0.42,0.324,95,-1.3,-5.9,19.8,3.7,1010978
1986,Dick Schofield,Angels,139,529,13,67,57,23,9.10%,10.40%,0.148,0.253,0.249,0.321,0.397,0.319,96,2.6,-0.1,18.3,3.7,1011602
2000,Derek Jeter,Yankees,148,679,15,119,73,22,10.00%,14.60%,0.142,0.386,0.339,0.416,0.481,0.395,133,2.7,33.3,-16.4,3.7,826
1992,Cal Ripken,Orioles,162,715,14,73,72,4,9.00%,7.00%,0.115,0.252,0.251,0.323,0.366,0.309,90,-0.5,-8.6,20.9,3.7,1010978
2011,Asdrubal Cabrera,Indians,151,667,25,87,92,17,6.60%,17.80%,0.187,0.302,0.273,0.332,0.46,0.344,119,2.4,17,-4.2,3.6,4962
2007,Derek Jeter,Yankees,156,714,12,102,73,15,7.80%,14.00%,0.13,0.367,0.322,0.388,0.452,0.371,125,0.9,23.7,-11.2,3.6,826
2004,Cesar Izturis,Dodgers,159,728,4,90,62,25,5.90%,9.60%,0.093,0.316,0.288,0.33,0.381,0.312,88,3.3,-8.3,21.1,3.6,656
2011,Jimmy Rollins,Phillies,142,631,16,87,63,30,9.20%,9.40%,0.131,0.275,0.268,0.338,0.399,0.325,103,3.2,5.1,9.6,3.6,971
1990,Walt Weiss,Athletics,138,505,2,50,35,9,9.10%,10.50%,0.056,0.294,0.265,0.337,0.321,0.301,91,0.4,-4.8,24.1,3.6,1013748
2006,Edgar Renteria,Braves,149,673,14,100,70,17,9.20%,13.20%,0.144,0.324,0.293,0.361,0.436,0.349,108,0.8,7.7,7.2,3.6,1178
1987,Ozzie Guillen,White Sox,149,604,2,64,51,25,3.60%,8.60%,0.075,0.3,0.279,0.303,0.354,0.288,72,1.3,-20.4,36,3.6,1005125
1994,Jay Bell,Pirates,110,487,9,68,45,2,10.10%,16.80%,0.165,0.321,0.276,0.353,0.441,0.349,107,0.4,4.8,15.8,3.6,48
1989,Tony Fernandez,Blue Jays,140,617,11,64,64,22,4.70%,8.30%,0.133,0.261,0.257,0.291,0.389,0.303,88,1.9,-6.6,20.7,3.6,1004002
2013,Yunel Escobar,Rays,153,578,9,61,56,4,9.90%,12.60%,0.11,0.281,0.256,0.332,0.366,0.311,98,-2.3,-3.4,17.5,3.6,4191
