Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1993,Ricky Gutierrez,Padres,133,495,5,76,26,4,10.10%,19.60%,0.08,0.312,0.251,0.334,0.331,0.306,84,-0.3,-10.2,-2.2,0.5,387
1994,Andujar Cedeno,Astros,98,380,9,38,49,1,7.60%,20.80%,0.155,0.318,0.263,0.334,0.418,0.318,94,-0.2,-3.4,-3.9,0.5,1002099
2010,Darwin Barney,Cubs,30,85,0,12,2,0,7.10%,14.10%,0.051,0.284,0.241,0.294,0.291,0.267,57,1.4,-2.9,5.2,0.5,2430
1994,Orlando Miller,Astros,16,44,2,3,9,1,4.50%,27.30%,0.2,0.423,0.325,0.386,0.525,0.382,136,0.2,2.2,1.5,0.5,1008917
1996,Mike Benjamin,Phillies,35,118,4,13,13,3,10.20%,17.80%,0.184,0.244,0.223,0.316,0.408,0.303,79,0.1,-3,4.6,0.5,981
2016,Daniel Descalso,Rockies,99,289,8,38,38,3,11.80%,19.40%,0.16,0.305,0.264,0.349,0.424,0.332,90,1.8,-1.7,-2.5,0.5,8392
2005,Yuniesky Betancourt,Mariners,60,228,1,24,15,1,4.80%,10.50%,0.114,0.282,0.256,0.296,0.37,0.291,78,0.5,-5.6,2.9,0.5,8585
1996,Walt Weiss,Rockies,155,624,8,89,48,10,12.80%,12.50%,0.093,0.316,0.282,0.381,0.375,0.342,83,0.9,-12.4,-1.1,0.5,1013748
2016,Alcides Escobar,Royals,162,682,7,57,55,17,4.00%,14.10%,0.089,0.295,0.261,0.292,0.35,0.278,69,-0.8,-26.3,8.1,0.5,6310
1991,Jeff Blauser,Braves,129,415,11,49,54,5,13.00%,14.20%,0.151,0.281,0.259,0.358,0.409,0.345,115,-1.4,5.4,-14.9,0.5,1001062
1986,Tom Foley,- - -,103,299,1,26,23,10,10.00%,12.40%,0.091,0.301,0.266,0.337,0.357,0.306,90,0.8,-2.7,-2.3,0.5,1004200
2010,Yuniesky Betancourt,Royals,151,588,16,60,78,2,3.90%,10.90%,0.146,0.267,0.259,0.288,0.405,0.302,84,0.2,-10.7,-4.6,0.5,8585
1995,Tony Fernandez,Yankees,108,438,5,57,45,6,9.60%,9.10%,0.102,0.259,0.245,0.322,0.346,0.3,77,-1.5,-14.4,4.5,0.5,1004002
2011,John McDonald,- - -,84,245,2,21,22,2,4.90%,11.00%,0.079,0.25,0.229,0.269,0.308,0.257,54,0.5,-12.5,9.3,0.5,395
2009,Cesar Izturis,Orioles,114,412,2,34,30,12,4.40%,9.20%,0.072,0.28,0.256,0.294,0.328,0.278,60,-2.5,-22.9,13.8,0.5,656
2011,Rafael Furcal,- - -,87,369,8,44,28,9,7.60%,10.60%,0.117,0.24,0.231,0.298,0.348,0.29,83,2.1,-5.1,-1.7,0.5,88
2012,Elliot Johnson,Rays,123,331,6,32,33,18,7.30%,25.40%,0.108,0.316,0.242,0.304,0.35,0.29,85,1.9,-3.7,-2.6,0.5,4751
2017,Max Moroff,Pirates,56,140,3,19,21,0,11.40%,30.70%,0.125,0.28,0.2,0.302,0.325,0.28,70,0.3,-5.1,5.5,0.5,14556
2010,Osvaldo Martinez,Marlins,14,48,0,8,2,1,8.30%,12.50%,0.14,0.378,0.326,0.383,0.465,0.373,129,1,2.7,0.6,0.5,3900
1997,Tripp Cromer,Dodgers,28,95,4,8,20,0,6.30%,16.80%,0.174,0.313,0.291,0.333,0.465,0.335,106,-0.4,0.3,1.7,0.5,1719
1985,Mike Gallego,Athletics,76,93,1,13,9,1,12.90%,15.10%,0.13,0.238,0.208,0.319,0.338,0.302,90,-0.2,-1.3,3,0.5,1004458
1991,Rafael Belliard,Braves,149,385,0,36,27,3,5.70%,16.40%,0.037,0.302,0.249,0.296,0.286,0.267,61,0.2,-16.7,9.1,0.5,1000811
1995,Shawon Dunston,Cubs,127,503,14,58,69,10,2.00%,14.90%,0.176,0.325,0.296,0.317,0.472,0.339,102,-0.3,0.9,-12.6,0.5,1401
2010,Wilson Valdez,Phillies,111,363,4,37,35,7,5.80%,11.80%,0.102,0.287,0.258,0.306,0.36,0.29,75,-0.7,-11.7,5,0.5,1863
1993,Mike Benjamin,Giants,63,165,4,22,16,0,5.50%,13.90%,0.13,0.21,0.199,0.264,0.329,0.264,61,0,-8,7,0.5,981
1993,Freddie Benavides,Rockies,74,223,3,20,26,3,2.70%,12.10%,0.117,0.315,0.286,0.305,0.404,0.311,73,-0.2,-7.5,4.4,0.5,1000825
2008,Troy Tulowitzki,Rockies,101,421,8,48,46,1,9.00%,13.30%,0.138,0.289,0.263,0.332,0.401,0.321,83,-4.1,-13.3,4.4,0.5,3531
2010,Alcides Escobar,Brewers,145,552,4,57,41,10,6.50%,12.70%,0.091,0.264,0.235,0.288,0.326,0.27,62,4.1,-21.2,8.6,0.5,6310
2006,Eric Bruntlett,Astros,73,136,0,11,10,3,9.60%,15.40%,0.067,0.333,0.277,0.351,0.345,0.311,83,-0.1,-3,3.4,0.5,1753
2016,Wilmer Difo,Nationals,31,66,1,14,7,3,12.10%,18.20%,0.103,0.333,0.276,0.364,0.379,0.325,99,1,0.9,1.6,0.5,14320
